source_record_id,po_so_number,asn_dn_number,project_code,destination_country,managed_by,fulfill_via,incoterm,shipment_mode_raw,shipment_mode,missing_mode_flag,pq_first_sent_date,po_sent_date,scheduled_delivery_date,actual_delivery_date,delivery_recorded_date,product_group_raw,sub_classification_raw,product_category,vendor_name,item_description_raw,manufacturing_site,first_line_designation,unit_of_measure_per_pack,line_item_quantity,line_item_value_usd,pack_price_usd,unit_price_usd,weight_kg,weight_source,freight_cost_usd,freight_cost_source,line_item_insurance_usd,reporting_scheduled_delivery_date,reporting_actual_delivery_date
598,SCMS-25540,ASN-2295,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2008-06-12,2008-06-09,2008-06-09,ARV,Adult,SOLAR_MODULE,S. BUYS WHOLESALER,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",GSK Ware (UK),1,60,30,1049.4,34.98,0.58,,missing_captured_separately,,missing_included_in_commodity,1.68,2018-06-12,2018-06-09
610,SCMS-26180,ASN-2274,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,SOLAR_MODULE,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs","Aurobindo Unit III, India",1,60,38640,92736.0,2.4,0.04,2719.0,direct,18614.72,direct,148.38,2018-09-19,2018-09-19
630,SCMS-26560,ASN-2366,112-NG-T01,Nigeria,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-02-25,2008-09-09,2008-09-09,ACT,ACT,BOS_COMPONENT,IDA FOUNDATION,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs","Novartis Pharma AG, Switzerland",1,540,34,1547.68,45.52,0.08,115.0,direct,1755.87,direct,2.48,2019-02-25,2018-09-09
637,SCMS-26200,ASN-2563,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-10-08,2008-10-08,2008-10-08,ARV,Adult,SOLAR_MODULE,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps","Aurobindo Unit III, India",1,60,42000,60900.0,1.45,0.02,2600.0,direct,10179.16,direct,97.44,2018-10-08,2018-10-08
646,SCMS-26820,ASN-2488,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2008-07-10,2008-07-08,2008-07-08,ARV,Pediatric,INVERTER,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml","BI, Ingelheim, Germany",1,240,50,696.5,13.93,0.06,,missing_captured_separately,,missing_included_in_commodity,1.11,2018-07-10,2018-07-08
660,SCMS-27360,ASN-2767,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-11-27,2008-11-27,2008-11-27,ARV,Adult,SOLAR_MODULE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Mylan (formerly Matrix) Nashik,1,30,16800,171192.0,10.19,0.34,1224.0,direct,4686.88,direct,335.54,2018-11-27,2018-11-27
668,SCMS-27670,ASN-2255,102-GY-T01,Guyana,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2008-08-15,2008-08-15,2008-08-15,MRDT,Malaria,BOS_COMPONENT,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Not Applicable,1,25,98,3675.0,37.5,1.5,34.0,direct,180.0,direct,5.88,2018-08-15,2018-08-15
670,SCMS-27790,ASN-2641,110-ZM-T01,Zambia,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-10-20,2008-10-20,2008-10-20,HRDT,HIV test,BATTERY_ESS,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Inverness Japan,1,100,4500,323955.0,71.99,0.72,1053.0,direct,11062.05,direct,634.95,2018-10-20,2018-10-20
712,SCMS-28840,ASN-2450,119-NA-T01,Namibia,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-09-18,2008-09-18,2008-09-18,HRDT,HIV test,BATTERY_ESS,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","Trinity Biotech, Plc",1,20,10,320.0,32.0,1.6,,missing_captured_separately,,missing_invoiced_separately,0.51,2018-09-18,2018-09-18
717,SCMS-29140,ASN-2472,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-10-02,2008-10-02,2008-10-02,HRDT,HIV test,BATTERY_ESS,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Bio-Rad Laboratories,1,40,500,38000.0,76.0,1.9,562.0,direct,11298.13,direct,60.8,2018-10-02,2018-10-02
719,SCMS-29340,ASN-2921,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-01-23,2009-01-23,2009-01-23,ACT,ACT,BOS_COMPONENT,IDA FOUNDATION,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",Ipca Dadra/Nagar Haveli IN,1,12,25000,9750.0,0.39,0.03,1708.0,direct,12830.91,direct,19.11,2019-01-23,2019-01-23
772,SCMS-30502,ASN-3653,131-NG-T01,Nigeria,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2009-03-10,2009-04-08,2009-04-08,ARV,Adult,SOLAR_MODULE,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs","MSD, Haarlem, NL",1,30,9,453.6,50.4,1.68,,missing_captured_separately,,missing_included_in_commodity,0.89,2019-03-10,2019-04-08
791,SCMS-31180,ASN-2717,119-NA-T01,Namibia,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-10-29,2008-10-29,2008-10-29,HRDT,HIV test,BATTERY_ESS,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Inverness Japan,1,100,150,10798.5,71.99,0.72,46.0,direct,2698.04,direct,21.17,2018-10-29,2018-10-29
796,SCMS-31370,ASN-2796,102-BW-T01,Botswana,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2008-11-28,2008-11-28,2008-11-28,HRDT,HIV test - Ancillary,BOS_COMPONENT,"Trinity Biotech, Plc","#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml","Trinity Biotech, Plc",1,2,15,450.0,30.0,15.0,1.0,direct,578.01,direct,0.88,2018-11-28,2018-11-28
797,SCMS-31380,ASN-3172,110-ZM-T01,Zambia,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-01-23,2009-01-23,2009-01-23,HRDT,HIV test,BATTERY_ESS,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","Standard Diagnostics, Korea",1,25,319,6380.0,20.0,0.8,100.0,direct,1122.24,direct,12.5,2019-01-23,2019-01-23
835,SCMS-33320,ASN-3553,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2009-05-17,2008-10-09,2008-10-09,ARV,Adult,SOLAR_MODULE,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs","Aspen-OSD, Port Elizabeth, SA",1,30,80,1830.4,22.88,0.76,,missing_captured_separately,,missing_included_in_commodity,3.59,2019-05-17,2018-10-09
836,SCMS-33320,ASN-3892,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2009-05-17,2009-05-17,2009-05-17,ARV,Adult,SOLAR_MODULE,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs","Aspen-OSD, Port Elizabeth, SA",1,30,120,2745.6,22.88,0.76,,missing_captured_separately,,missing_included_in_commodity,5.38,2019-05-17,2019-05-17
837,SCMS-33320,ASN-3553,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,INVERTER,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","BMS Meymac, France",0,200,600,858.0,1.43,0.01,,missing_captured_separately,,missing_included_in_commodity,1.68,2019-05-17,2018-10-09
838,SCMS-33320,ASN-3553,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,INVERTER,S. BUYS WHOLESALER,"Didanosine 100mg [Videx],chewable tablets, 60 Tabs","BMS Meymac, France",0,60,7,91.35,13.05,0.22,,missing_captured_separately,,missing_included_in_commodity,0.18,2019-05-17,2018-10-09
839,SCMS-33320,ASN-3553,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,TRUCK,0,,,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,INVERTER,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",ABBVIE (Abbott) Logis. UK,0,300,40,1375.6,34.39,0.11,,missing_captured_separately,,missing_included_in_commodity,2.7,2019-05-17,2018-10-09
849,SCMS-33930,ASN-3209,102-GY-T01,Guyana,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2009-02-06,2009-02-06,2009-02-06,MRDT,Malaria,BOS_COMPONENT,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Not Applicable,1,25,108,4050.0,37.5,1.5,,missing_captured_separately,,missing_included_in_commodity,7.94,2019-02-06,2019-02-06
858,SCMS-34680,ASN-3332,109-TZ-T01,Tanzania,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2009-04-21,2009-04-21,2009-04-21,ARV,Adult,SOLAR_MODULE,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs","MSD, Haarlem, NL",1,30,50000,2520000.0,50.4,1.68,4093.0,direct,9339.0,direct,4939.2,2019-04-21,2019-04-21
914,SCMS-35790,ASN-3242,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-03-02,2009-03-02,2009-03-02,ANTM,Malaria,BOS_COMPONENT,IDA FOUNDATION,"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",Gland Pharma Ltd Pally Factory,1,100,140,2731.4,19.51,0.2,5209.0,direct,25405.22,direct,5.35,2019-03-02,2019-03-02
937,SCMS-36660,ASN-3509,111-MZ-T01,Mozambique,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-03-23,2009-03-23,2009-03-23,HRDT,HIV test,BATTERY_ESS,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","Trinity Biotech, Plc",1,20,5700,182400.0,32.0,1.6,1906.0,direct,23914.8,direct,357.5,2019-03-23,2019-03-23
960,SCMS-37170,ASN-3562,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-04-10,2009-04-10,2009-04-10,ARV,Adult,SOLAR_MODULE,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs","Aurobindo Unit III, India",1,60,5964,51350.04,8.61,0.14,3509.0,direct,12835.2,direct,100.65,2019-04-10,2019-04-10
961,SCMS-37170,ASN-3562,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-04-10,2009-04-10,2009-04-10,ARV,Adult,SOLAR_MODULE,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs","Aurobindo Unit III, India",0,60,21000,50400.0,2.4,0.04,3509.0,resolved_reference,12835.2,resolved_reference,98.78,2019-04-10,2019-04-10
962,SCMS-37180,ASN-3521,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-03-23,2009-03-23,2009-03-23,ARV,Adult,SOLAR_MODULE,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs","Cipla, Goa, India",1,60,10560,72864.0,6.9,0.12,924.0,direct,4225.93,direct,142.81,2019-03-23,2019-03-23
979,SCMS-31721,ASN-3454,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-03-16,2009-03-16,2009-03-16,ARV,Adult,SOLAR_MODULE,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs","Aurobindo Unit III, India",1,60,2352,20250.72,8.61,0.14,211.0,direct,892.5,direct,39.69,2019-03-16,2019-03-16
985,SCMS-38370,ASN-3751,109-TZ-T01,Tanzania,PMO - US,Direct Drop,FCA,Air,AIR,0,,,2009-05-28,2009-05-28,2009-05-28,ARV,Pediatric,INVERTER,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",ABBVIE (Abbott) Logis. UK,1,300,524,21536.4,41.1,0.14,644.0,direct,6668.61,direct,42.21,2019-05-28,2019-05-28
986,SCMS-38380,ASN-3627,109-TZ-T01,Tanzania,PMO - US,Direct Drop,FCA,Air,AIR,0,,,2009-05-04,2009-05-04,2009-05-04,ARV,Pediatric,INVERTER,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",ABBVIE Ludwigshafen Germany,1,60,2094,21526.32,10.28,0.17,237.0,direct,,missing_included_in_commodity,42.19,2019-05-04,2019-05-04
993,SCMS-38660,ASN-3710,107-RW-T01,Rwanda,PMO - US,Direct Drop,EXW,Air,AIR,0,,,2009-04-28,2009-04-28,2009-04-28,HRDT,HIV test,BATTERY_ESS,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",Premier Med. Corp Ltd. India,1,30,8249,185602.5,22.5,0.75,2800.0,direct,12595.81,direct,363.78,2019-04-28,2019-04-28
1037,SCMS-39640,ASN-4747,123-NG-T01,Nigeria,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2009-09-30,2009-09-30,2009-09-30,ARV,Adult,SOLAR_MODULE,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps","BMS Meymac, France",1,30,200,4734.0,23.67,0.79,11.0,direct,463.0,direct,9.28,2019-09-30,2019-09-30
1046,SCMS-40000,ASN-3675,106-HT-T01,Haiti,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2009-03-31,2009-03-31,2009-03-31,ARV,Pediatric,INVERTER,BRISTOL-MYERS SQUIBB,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs","BMS Meymac, France",1,60,80,760.0,9.5,0.16,43.0,direct,260.0,direct,1.49,2019-03-31,2019-03-31
1047,SCMS-40000,ASN-3675,106-HT-T01,Haiti,PMO - US,Direct Drop,CIP,Air,AIR,0,,,2009-03-31,2009-03-31,2009-03-31,ARV,Pediatric,INVERTER,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml","BMS Meymac, France",0,200,32,402.88,12.59,0.06,43.0,resolved_reference,260.0,resolved_reference,0.79,2019-03-31,2019-03-31
1048,SCMS-40030,ASN-3750,106-HT-T01,Haiti,PMO - US,Direct Drop,FCA,Air,AIR,0,,,2009-04-15,2009-04-15,2009-04-15,ARV,Pediatric,INVERTER,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",ABBVIE Ludwigshafen Germany,1,60,46,472.88,10.28,0.17,10.0,direct,893.22,direct,0.93,2019-04-15,2019-04-15
1063,SCMS-40810,ASN-3634,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,AIR,0,,,2009-03-31,2008-12-02,2008-12-02,ARV,Adult,SOLAR_MODULE,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs","Aurobindo Unit III, India",1,30,3025,47522.75,15.71,0.52,,missing_captured_separately,,missing_included_in_commodity,93.14,2019-03-31,2018-12-02
1065,SCMS-41040,ASN-3623,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,AIR,0,,,2009-04-07,2008-12-03,2008-12-03,ARV,Adult,SOLAR_MODULE,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs","Cipla, Goa, India",1,30,3500,49840.0,14.24,0.47,,missing_captured_separately,,missing_included_in_commodity,97.69,2019-04-07,2018-12-03
1066,SCMS-41040,ASN-3623,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,AIR,0,,,2009-04-07,2008-12-03,2008-12-03,ARV,Pediatric,INVERTER,S. BUYS WHOLESALER,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml","Aurobindo Unit III, India",0,240,1008,3588.48,3.56,0.01,,missing_captured_separately,,missing_included_in_commodity,7.03,2019-04-07,2018-12-03
1067,SCMS-41060,ASN-3624,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,AIR,0,,,2009-05-05,2008-12-23,2008-12-23,ARV,Pediatric,INVERTER,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","BMS Meymac, France",1,200,960,1152.0,1.2,0.01,,missing_captured_separately,,missing_included_in_commodity,2.26,2019-05-05,2018-12-23
